3
false
true
330
0;0;0;0;0
0;0;0;0;1
0;0;255;0;2
255;255;0;0;3
255;255;0;0;4
255;255;0;0;5
255;255;0;0;6
255;0;0;0;7
0;0;255;0;8
0;0;255;0;9
0;0;0;1;0
0;0;0;1;1
0;0;0;1;2
0;0;0;1;3
0;0;0;1;4
0;0;0;1;5
255;255;0;1;6
0;0;255;1;7
255;255;0;1;8
0;0;255;1;9
0;0;0;2;0
0;0;255;2;1
255;255;0;2;2
0;0;255;2;3
255;255;0;2;4
0;0;255;2;5
0;0;255;2;6
0;0;255;2;7
255;255;0;2;8
0;0;255;2;9
0;0;0;3;0
0;0;0;3;1
0;0;0;3;2
0;0;0;3;3
0;0;0;3;4
255;255;0;3;5
0;0;255;3;6
255;255;0;3;7
0;0;255;3;8
0;0;255;3;9
0;0;0;4;0
0;0;255;4;1
0;0;255;4;2
255;0;0;4;3
255;255;0;4;4
0;0;255;4;5
255;255;0;4;6
255;255;0;4;7
255;255;0;4;8
0;0;255;4;9
0;0;0;5;0
0;0;0;5;1
0;0;255;5;2
255;255;0;5;3
255;255;0;5;4
0;0;255;5;5
255;255;0;5;6
255;255;0;5;7
0;0;255;5;8
255;255;0;5;9
0;0;0;6;0
0;0;0;6;1
0;0;0;6;2
0;0;0;6;3
0;0;0;6;4
255;255;0;6;5
255;255;0;6;6
255;255;0;6;7
0;0;255;6;8
0;0;255;6;9
0;0;0;7;0
0;0;0;7;1
255;0;0;7;2
255;255;0;7;3
0;0;255;7;4
255;255;0;7;5
0;0;255;7;6
255;255;0;7;7
0;0;255;7;8
255;255;0;7;9
0;0;0;8;0
0;0;0;8;1
0;0;0;8;2
0;0;0;8;3
0;0;0;8;4
255;255;0;8;5
255;255;0;8;6
0;0;255;8;7
255;0;0;8;8
0;0;255;8;9
0;0;0;9;0
0;0;0;9;1
0;0;0;9;2
0;0;0;9;3
0;0;0;9;4
0;0;0;9;5
0;0;255;9;6
255;255;0;9;7
0;0;255;9;8
0;0;255;9;9
